Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Agriculture Portfolio and Water Resources,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Programme 1.1: Rural Industries Research and Development ,[not published],Payment from related entities,,8628,9957,10163,10310,10068,Rural Industries Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Programme 1.1: Rural Industries Research and Development ,[not published],Special appropriations,"Primary Industries Research and Development Act 1989, s. 30(3) - Rural Industries R&D Corporation",7935,7402,7966,8002,8038,Rural Industries Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Programme 1.1: Rural Industries Research and Development ,[not published],Revenues from industry sources ,,1498,1623,1485,1395,1395,Rural Industries Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Programme 1.1: Rural Industries Research and Development ,[not published],Revenues from other independent sources ,,2347,2124,1731,1471,1481,Rural Industries Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Rural Industries Research and Development Corporation,"Outcome 1: Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership. ",Programme 1.1: Rural Industries Research and Development ,[not published],Reserves,,1500,0,0,0,0,Rural Industries Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development.",Programme 1.1:  Grains Research and Development Corporation,[not published],Special appropriations,"Primary Industries Research and Development Act 1989, s. 30(3) - Grains and Wheat R&D Corporation",68189,68158,69058,71141,71302,Grains Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development.",Programme 1.1:  Grains Research and Development Corporation,[not published],Revenues from industry sources ,,108121,114519,111887,111823,111886,Grains Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development.",Programme 1.1:  Grains Research and Development Corporation,[not published],Revenues from other independent sources ,,23088,17411,19107,18167,17940,Grains Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Grains Research and Development Corporation,"Outcome 1: New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development.",Programme 1.1:  Grains Research and Development Corporation,[not published],Reserves,,20539,20412,13236,10971,10818,Grains Research and Development Corporation 2016-17 PBS,Table 2.1.1
Agriculture Portfolio and Water Resources,Fisheries Research and Development Corporation,"Outcome 1: Increased economic, social and environmental benefits for Australian fishing and aquaculture, and the wider community, by investing in knowledge, innovation, and marketing.",Programme 1.1: Fisheries Research and Development Corporation,[not published],Special appropriations,"Primary industries Research and Development Act 1989, s. 30A(3) & s. 30B(9) - Fisheries R&D Corporation",20244,21431,21827,22228,22949,Fisheries Research and Development Corporation 2016-17 PBS,Table 2.1.1
