Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2012-13,2013-14,2014-15,2015-16,2016-17,Source document,Source table,URL
Treasury & Related Departments,Department of the Treasury,,,,,,271417.0,178439.0,143201.5,111045.7,83989.6,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to International Financial Institutions,,,,,,18598.0,3678.0,3164.2,2499.9,1963.7,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Support for Markets and Business,,,,,,22895.0,24737.0,30533.5,25393.4,25999.6,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to States,General Revenue Assistance,,,,,48935036.0,51233846.0,58041245.7,61386936.7,73205132.3,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to States,Assistance to the States for Healthcare Services,,,,,13280449.0,14040015.0,16170446.9,16252716.6,17906466.8,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to States,Assistance to the States for Government Schools,,,,,3944991.0,2112164.0,2566902.7,3073457.6,2613171.7,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to States,Assistance to the States for Skills and Workforce Development,,,,,1387532.0,1408969.0,1340353.6,1070737.7,910569.7,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to States,Assistance to the States for Disabilities Services,,,,,1244118.0,1237636.0,1251525.4,1395096.5,1507871.8,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to States,Assistance to the States for Affordable Housing,,,,,1263727.0,1282683.0,1435602.2,1646283.5,1982031.4,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Payments to States,National Partnership Payments to the States,,,,,10966356.0,11079773.0,9549170.6,10890667.1,11874745.7,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Competition and Consumer Commission,,,,,,166772.0,122417.0,99572.1,75271.4,69316.6,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Office of Financial Management,Servicing Australia's Debt,,,,,12209424.0,12456587.0,13468344.8,10478191.2,8062090.1,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Office of Financial Management,Department expenses,,,,,10237.0,12313.0,9777.8,7542.2,6063.7,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Bureau of Statistics,,,,,,423705.0,388804.0,474885.7,394423.9,316361.9,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Prudential Regulation Authority,,,,,,117558.0,124690.0,117626.6,146125.9,111460.9,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Security and Investments Commission,Department expenses,,,,,454422.0,450833.0,345539.1,324646.2,347875.7,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Security and Investments Commission,Administration of unclaimed money,,,,,70606.0,55433.0,57966.0,46024.1,52499.5,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Australian Taxation Office,,,,,3273323.0,3368725.0,2635712.6,3099975.2,3842141.1,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Tax Practitioners Board,,,,,16982.0,14411.0,11488.6,10236.6,9139.2,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Australian Business Register,,,,,162092.0,176225.0,146325.7,120023.3,114216.9,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Australian Valuation Office,,,,,34553.0,32495.0,30992.2,27088.2,21823.8,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Australian Charities and Not-for-profits Commission,,,,,14544.0,15161.0,18940.2,23039.0,23443.2,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Product Stewardship for Oil,,,,,35000.0,47000.0,47360.5,42641.5,35077.2,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Cleaner Fuels Grant Scheme,,,,,40000.0,43000.0,35304.3,39624.3,36034.2,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Australian Screen Production Incentive,,,,,267000.0,237000.0,226495.7,243290.2,303587.5,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Research and Development Tax Incentive,,,,,1471000.0,1410000.0,1374182.0,1403458.5,1721707.9,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Treasury & Related Departments,Australian Taxation Office,Private Health Insurance Rebate,,,,,206000.0,191000.0,224942.1,177093.8,132849.4,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
